pdga_number,country
6520,US
8332,US
8399,BE
9059,US
11534,US
13864,US
15354,US
15857,US
17295,US
18330,US
18651,US
18824,US
22055,US
24341,US
24443,US
24712,US
25000,US
27171,US
27523,US
27832,US
27984,US
28198,US
28560,US
29190,US
29812,US
29947,US
31041,CA
31333,US
31644,US
31818,US
32654,US
32917,US
33705,US
33838,US
34344,US
34563,US
35070,NO
35187,US
35321,SE
35449,US
35695,US
35798,US
35876,US
37817,US
38008,US
38160,US
38464,US
38631,US
39015,US
39491,US
39504,US
41150,US
41760,US
41884,NO
43210,US
43762,US
43834,US
43995,US
44184,US
44382,US
44458,US
44512,US
44800,US
44919,US
45319,US
45971,US
46192,US
46234,US
46920,US
47136,US
47472,US
47662,US
48125,US
48199,US
48346,US
48950,US
48976,US
49865,US
49885,US
50401,US
50656,US
50670,US
50671,US
50760,US
51242,US
51277,US
51685,US
52488,FI
52785,US
53538,FI
53558,US
53565,US
53839,US
54049,US
54111,SE
54879,US
55820,US
56016,US
56037,US
56511,US
56555,US
56579,US
56886,US
57365,US
57366,CH
57425,US
57544,US
58923,FI
58926,FI
59227,FI
59419,US
59431,US
59613,US
59635,FI
59769,SE
60259,US
60331,US
60436,US
60667,US
60798,US
61144,US
61186,EE
61218,CA
61722,US
61977,US
61990,SK
62467,US
62879,US
62880,US
63257,US
63765,US
64554,US
64917,FI
64927,FI
65266,US
65488,US
65489,US
65504,US
65766,US
66063,US
66599,FI
66855,US
67172,US
68103,US
68237,CZ
68286,US
68357,US
68481,US
68815,US
68986,US
69287,US
69424,US
69509,US
71262,US
71872,US
72576,NO
72635,EE
72844,US
73855,US
74221,US
74465,US
74569,NO
74708,US
74823,US
75029,US
75178,US
75412,US
75444,EE
75590,US
76456,FI
76505,US
76669,EE
76846,US
77274,US
77385,SE
77387,US
77589,AT
77821,US
78108,US
78232,US
78268,US
78697,US
78817,US
79004,SE
79047,US
79233,US
79748,US
79859,NO
80054,US
80091,US
80331,US
80347,US
80554,IS
80904,US
80907,US
80935,US
80974,FI
81376,SE
81739,US
81781,US
82098,SE
82297,FI
82562,FI
82809,US
83376,US
83848,US
84279,EE
85132,US
85189,US
85484,EE
85942,US
86443,US
86957,IS
87143,US
87267,US
87673,US
87790,AT
87964,FI
88212,US
88278,US
89184,NL
89394,US
89460,US
89542,US
89959,US
90439,US
90461,US
90585,US
90740,EE
91134,US
91175,SE
91249,FI
91397,US
91543,US
91925,CZ
92426,US
92655,US
93197,US
93274,US
94085,EE
94844,US
94872,FI
95050,SE
95645,NO
96090,FI
96512,US
96832,US
98091,US
98130,SE
98161,US
98558,US
98722,US
99153,US
99246,US
99441,US
99455,US
99462,US
99648,US
99832,US
99835,US
100497,MX
100708,US
100818,US
101197,US
101574,US
101609,SE
101781,US
101944,US
101949,US
102024,US
102051,SE
102119,US
102180,US
102252,US
102591,US
103114,EE
103148,US
103676,US
103693,SK
103705,US
103743,CA
103830,SE
104187,US
104314,US
104814,US
105126,US
106059,FI
106489,US
107197,EE
107297,EE
107335,FI
107518,US
107567,FI
108302,FI
108560,US
108695,EE
108871,US
109337,US
109996,NO
110462,FI
110596,SE
111104,US
111487,US
111626,NO
111887,US
112414,EE
112647,US
113179,US
113749,NO
114877,US
115165,US
115503,FI
115742,US
116137,SE
116694,EE
116860,US
117119,US
117337,FI
117593,FI
117788,US
118010,US
118179,NZ
118426,US
118552,EE
118795,US
119504,US
119626,SE
119628,SE
119794,US
119854,US
120343,US
121554,SE
121715,US
121746,US
122356,US
122655,US
123220,NO
123433,SE
123741,US
124016,US
124064,US
124269,NO
124607,US
125969,US
126320,DK
127048,US
127492,US
128050,US
128532,EE
128704,US
129061,DK
129933,EE
129963,US
130300,EE
130342,CA
130709,US
130724,US
130941,AU
131002,FI
131056,FI
131072,US
131330,US
131546,US
132195,US
132291,US
132521,US
132972,US
133499,US
133547,US
133701,US
134053,US
135125,SE
135258,SE
135272,SE
135358,US
135467,US
136325,FI
137010,FI
137625,US
137836,US
137957,US
138089,US
138103,US
138269,US
138272,US
138355,US
138655,US
138685,EE
139109,US
139228,US
139387,SE
139619,BZ
139649,US
140561,US
140660,IS
140947,US
141387,US
142224,US
142354,US
143853,US
143900,US
144112,US
144592,US
144790,US
144791,US
144929,US
145206,US
145623,US
146137,US
146304,US
146420,US
146679,US
146928,US
146950,US
147050,US
147393,US
147394,US
148126,US
148260,US
148807,US
149546,US
149803,US
150052,US
150600,US
151072,US
151146,US
152191,US
152206,US
153211,US
153363,US
153445,US
154098,US
154511,US
154616,US
155026,SE
155087,FI
155128,US
156259,SE
156492,US
157065,EE
157441,FI
157471,US
157945,US
158169,NO
158385,US
158461,US
158610,US
158613,US
158615,US
158640,LV
159317,FI
161137,US
161918,US
162020,US
162085,US
162717,SE
162722,US
162896,US
163877,US
164788,US
165010,FI
165105,US
165120,US
165190,US
165751,DK
165807,US
165843,US
165881,US
166089,US
167159,US
168538,US
168863,US
170182,US
170193,US
170839,US
173601,EE
174255,NO
174343,GB
174519,US
175222,US
176145,SE
176242,US
176243,US
176481,US
177347,EE
178069,US
178411,US
178485,FI
178707,US
179200,US
179847,US
179873,SE
180216,US
180719,US
180865,EE
181675,US
181772,NO
182130,NO
182450,SE
183213,US
183472,NO
183802,US
184609,GB
184736,US
185057,SE
185534,CA
185627,US
185738,CA
186277,DK
187773,US
187952,US
187956,US
188837,CA
189384,CA
189385,CA
189702,US
190064,SE
190731,US
192715,US
193477,US
193478,US
193996,US
194635,US
194882,US
194937,EE
195174,US
195549,US
195550,US
195780,US
195983,US
196220,US
196237,EE
196731,US
197577,US
197689,US
198236,US
198295,US
198446,US
198721,US
199203,RS
199449,US
200757,US
200956,US
201809,US
201845,FI
202571,LV
203005,FI
204855,SE
205985,US
208576,CA
208639,US
209432,US
210763,US
210972,CZ
211071,US
211189,US
211719,US
213243,US
214285,NO
214348,US
215150,US
215439,US
216558,FI
218351,US
218760,US
218762,US
218832,LV
218949,US
219458,US
219693,LV
219899,US
220532,US
221583,US
222973,DE
224238,SE
225016,US
226506,MX
226898,US
228153,FI
228486,US
229526,LV
229763,DE
231650,US
235368,US
235369,US
235433,US
235882,NO
238187,US
239942,US
240431,US
240590,US
241573,US
242013,US
242116,US
242331,SE
242531,US
244370,CA
245306,FI
245317,US
248473,CA
253857,US
254333,US
255044,US
255864,US
258444,US
259972,SE
261058,US
261216,SE
261932,US
262097,US
264796,US
267928,US
268900,US
269600,US
269838,CA
272448,US
277832,US
278450,EE
279466,NO
281626,LV
284553,US
284609,US
288014,US
308525,SE
309736,US
319725,US
