place,mpo_points,fpo_points
1,150.0,150.0
2,125.0,125.0
3,115.0,115.0
4,105.0,105.0
5,97.0,97.0
6,91.0,91.0
7,86.0,86.0
8,82.0,82.0
9,79.0,78.0
10,76.0,75.0
11,73.0,72.0
12,70.0,69.0
13,67.0,66.0
14,64.0,63.0
15,62.0,60.0
16,60.0,57.0
17,58.0,54.0
18,56.0,51.0
19,54.0,48.0
20,52.0,45.0
21,50.0,43.5
22,48.0,42.0
23,46.0,40.5
24,44.0,39.0
25,42.0,37.5
26,40.0,36.0
27,39.0,34.5
28,38.0,33.0
29,37.0,31.5
30,36.0,30.0
31,35.0,28.5
32,34.0,27.0
33,33.0,25.5
34,32.0,24.0
35,31.0,22.5
36,30.0,21.0
37,29.0,19.5
38,28.0,18.0
39,27.0,16.5
40,26.0,15.0
41,25.0,13.5
42,24.0,12.0
43,23.0,10.5
44,22.0,9.0
45,21.0,7.5
46,20.0,6.0
47,19.0,4.5
48,19.0,3.0
49,18.0,2.0
50,18.0,1.0
51,17.0,1.0
52,17.0,1.0
53,16.0,1.0
54,16.0,1.0
55,15.0,1.0
56,15.0,1.0
57,14.0,1.0
58,14.0,1.0
59,13.0,1.0
60,13.0,1.0
61,12.0,1.0
62,12.0,1.0
63,11.0,1.0
64,11.0,1.0
65,10.0,1.0
66,10.0,1.0
67,10.0,1.0
68,10.0,1.0
69,9.0,1.0
70,9.0,1.0
71,9.0,1.0
72,9.0,1.0
73,8.0,1.0
74,8.0,1.0
75,8.0,1.0
76,8.0,1.0
77,7.0,1.0
78,7.0,1.0
79,7.0,1.0
80,7.0,1.0
81,6.0,1.0
82,6.0,1.0
83,6.0,1.0
84,6.0,1.0
85,5.0,1.0
86,5.0,1.0
87,5.0,1.0
88,5.0,1.0
89,4.0,1.0
90,4.0,1.0
91,4.0,1.0
92,4.0,1.0
93,4.0,1.0
94,4.0,1.0
95,4.0,1.0
96,4.0,1.0
97,3.0,1.0
98,3.0,1.0
99,3.0,1.0
100,3.0,1.0
101,3.0,1.0
102,3.0,1.0
103,3.0,1.0
104,3.0,1.0
105,3.0,1.0
106,3.0,1.0
107,3.0,1.0
108,3.0,1.0
109,2.0,1.0
110,2.0,1.0
111,2.0,1.0
112,2.0,1.0
113,2.0,1.0
114,2.0,1.0
115,2.0,1.0
116,2.0,1.0
117,2.0,1.0
118,2.0,1.0
119,2.0,1.0
120,2.0,1.0
121,2.0,1.0
122,2.0,1.0
123,2.0,1.0
124,2.0,1.0
125,1.0,1.0
126,1.0,1.0
127,1.0,1.0
128,1.0,1.0
129,1.0,1.0
130,1.0,1.0
131,1.0,1.0
132,1.0,1.0
133,1.0,1.0
134,1.0,1.0
135,1.0,1.0
136,1.0,1.0
137,1.0,1.0
138,1.0,1.0
139,1.0,1.0
140,1.0,1.0
141,1.0,1.0
142,1.0,1.0
143,1.0,1.0
144,1.0,1.0
