name,qualification_method
Lindsey Maas,DGPT Q-Series Finale - Top 2
Ari Timm,DGPT Q-Series Finale - Top 2
Therese Cuevas,PDGA Amateur Major - World Champion
Kaidi Allsalu,DGPT Event - Top 2
Iida Lehtomäki,PDGA Major - Top 5
Brianna Vandergriendt,PDGA Amateur Major - U.S. Champion
Cadence Burge,DGPT Event - Top 2
Atlanta Krueger,PDGA Amateur Major - Collegiate Champion
Missy Gannon,DGPT Championship - 2nd Year
Ohn Scoggins,DGPT Championship - 2nd Year
Kristin Lätt,DGPT Championship - 2nd Year
Eveliina Salonen,DGPT Championship - 2nd Year
Silva Saarinen,DGPT Championship - 2nd Year
Henna Blomroos,DGPT Championship - 2nd Year
Holyn Handley,DGPT Championship - 2nd Year
Anniken Kristiansen Steen,DGPT Championship - 2nd Year
Hanna Huynh,DGPT Championship - 2nd Year
Paige Pierce,DGPT Championship - 2nd Year
Hailey King,DGPT Championship - 2nd Year
Kat Mertsch,DGPT Championship - 2nd Year
Ella Hansen,DGPT Championship - 2nd Year
Rebecca Cox,DGPT Championship - 2nd Year
Natalie Ryan,DGPT Championship - 2nd Year
Heidi Laine,DGPT Championship - 2nd Year
Lisa Fajkus,DGPT Championship - 2nd Year
Valerie Mandujano,DGPT Championship - 2nd Year
Lykke Lorentzen,DGPT Championship - 2nd Year
Emily Weatherman,DGPT Championship - 2nd Year
Jennifer Allen,DGPT World Standings - Top 45
Kona Star Montgomery,DGPT World Standings - Top 45
Sarah Hokom,DGPT World Standings - Top 45
Catrina Allen,DGPT World Standings - Top 45
Jessica Gurthie,DGPT World Standings - Top 45
Madison Walker,DGPT World Standings - Top 45
Alexis Mandujano,DGPT World Standings - Top 45
Maria Oliva,DGPT Q-Series Standings - Top 2 (Displacement)
Deann Carey,DGPT World Standings - Top 45
Anneli Tõugjas-Männiste,DGPT World Standings - Top 45
Keiti Tätte,DGPT World Standings - Top 45
Olivia Kindstedt,DGPT Europe Standings - Top 3 (Displacement)
Chantel Budinsky,DGPT World Standings - Top 45
Raven Klein,DGPT World Standings - Top 45
Alexis Kerman,DGPT Q-Series Standings - Top 2 (Displacement)
Rachel Turton,DGPT World Standings - Top 45
Dani K. Hart,DGPT World Standings - Top 45
Ali Smith,DGPT World Standings - Top 45
Kelley Foster,DGPT World Standings - Top 45
Ida Emilie Nesse,DGPT World Standings - Top 45
Elva-Kate Preston,DGPT Europe Standings - Top 3 (Displacement)
Jennifer Smiley,DGPT World Standings - Top 45
Sofia Donnecke,DGPT World Standings - Top 45
Taylor Chocek,DGPT World Standings - Top 45
Eliezra Midtlyng,DGPT World Standings - Top 45
Rebecca Don,DGPT World Standings - Top 45
Julia Fors,DGPT Europe Standings - Top 3 (Displacement)
Sintija Klezberga,DGPT World Standings - Top 45
